englishTitle;title;actionType;type;level;traits;traditions;castTime;muse;trigger;range;objectives;area;defense;duration;description;heightenings
PARANOIA;PARANOIA;two-actions;CONJURO;2;CONCENTRAR ILUSIÓN MANIPULAR MENTAL;ocultista;;;;30 pies (9 m); 1 criatura;;Voluntad; 1 minuto;"Haces que el objetivo vea a todas las demás criaturas como amenazas terribles. El objetivo resulta afectado por una intensa paranoia hacia todas las criaturas que la rodean y tiene que hacer una salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo cree que todos a los que ve son amenazas potenciales. Se vuelve malintencionado hacia todas las criaturas con las que ya no era hostil, incluso las que eran aliadas previamente. No trata a nadie como aliado. El conjuro se acaba después de 1 asalto.
Fallo Igual que éxito, pero el efecto dura 1 minuto.
Fallo crítico Como fallo, excepto que el objetivo cree que todos a los que ve son enemigos mortales suyos. Utiliza sus reacciones y sus acciones gratuitas contra todo el mundo, fueran o no previamente sus aliados, según determina el DJ. Por lo demás actúa de forma tan racional como normalmente y es probable que prefiera atacar a criaturas que están atacándole activamente o molestándole que a las que le dejan en paz.";Potenciado (6.º) Puedes designar como objetivo hasta a 5 criaturas.
FLICKER;PARPADEO;two-actions;CONJURO;4;CONCENTRAR MANIPULAR TELETRANSPORTE;arcana, ocultista;;;;;;;;1 minuto;Alternas rápidamente entre tu Plano y otro. Obtienes resistencia 5 a todo tipo de daño, excepto fuerza. Al final de cada uno de tus turnos, te teletransportas automáticamente 10 pies (3 m) en una dirección aleatoria, a determinar por el DJ. Puedes Mantener el conjuro para teletransportarte de esta forma.;Potenciado (+2) La resistencia se incrementa en 3.
MAGIC PASSAGE;PASAJE MÁGICO;two-actions;CONJURO;5;POCO-COMÚN CONCENTRAR MANIPULAR TIERRA;arcana, primigenia;;;;toque;; una sección de una pared de madera,;;yeso o piedra de 5 pies de grueso, 10 pies de alto y 10 pies de largo (1,5 x 3 x 3 m) 1 hora;Creas un túnel visible a través de la pared en el área elegida, reemplazándola por un espacio vacío. Si la pared es más gruesa de 10 pies (3 m), el túnel acaba a 10 pies (3 m). La más mínima capa de metal en la pared evita que este conjuro funcione. Este conjuro no reduce la integridad de la estructura. Cuando el conjuro se acaba, cualquiera en el interior del túnel es empujado hasta la salida más próxima.;Potenciado (7.º) el túnel puede tener hasta 20 pies (6 m) de profundidad. Las áreas del muro que contienen la entrada de tu túnel parecen completamente normales (a menos que se contemplen con visión verdadera o un efecto similar), a pesar de la existencia del túnel. La entrada funciona como una pared sólida, pero puedes especificar una contraseña o un desencadenante (pág. 303) que permite a las criaturas entrar libremente.
SAFE PASSAGE;PASAJE SEGURO;two-actions;CONJURO;3;CONCENTRAR MANIPULAR;arcana, divina, primigenia;;;;toque;; una sección de terreno de 10 pies (3 m);;de anchura, 10 pies (3 m) de altura y 60 pies (18 m) de longitud mantenido hasta 1 minuto;"Haces que el paso a través del área sea seguro durante un breve periodo de tiempo. Cualquiera que atraviese el área obtendrá los siguientes beneficios contra los efectos dañinos del terreno y del medio ambiente, incluyendo daño medioambiental, terreno arriesgado y peligros en el área. El conjuro concede un bonificador +2 por estatus a la CA y a las salvaciones contra dichos efectos, y resistencia 5 a todo el daño debido a dichos efectos. Además, evita que cualquier cosa del área que está a punto de derrumbarse, como por ejemplo un puente desvencijado o un techo inestable lo haga, excepto bajo una tensión extrema que derrumbaría una estructura normal de su tipo.
Pasaje seguro protege tan solo contra el daño, no contra los inconvenientes, y no reduce el terreno difícil, ni elimina el estado de oculto causado por las precipitaciones o cosas similares, ni protege contra las criaturas dentro del área del conjuro.";"Potenciado (5.º) La resistencia concedida se incrementa a 10 y el área puede ser de 120 pies (36 m) de longitud.
Potenciado (8.º) La resistencia concedida se incrementa a 15 y el área puede ser de 500 pies (150 m) de longitud."
MAGIC HIDE;PELAJE MÁGICO;one-action;FOCO;1;POCO-COMÚN FOCO EXPLORADOR MANIPULAR;;;;;30 pies (9 m); tu compañero animal;;;1 minuto;A tu compañero animal le crece una piel gruesa, un pelaje tupido o una concha más dura, lo que le concede un bonificador +1 por estatus a la CA.;
NIGHTMARE;PESADILLA;;CONJURO;4;CONCENTRAR ILUSIÓN MANIPULAR MENTAL;arcana, ocultista;10 minutos;;;planetario; 1 criatura cuyo nombre conoces;;Voluntad; 1 día;"Envías a tu objetivo unas inquietantes pesadillas. La siguiente vez que se queda dormido, tiene que hacer una salvación de Voluntad.
Si conoces al objetivo sólo de nombre y nunca te has encontrado con él, obtiene un bonificador +4 por circunstancia a la salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado y queda temporalmente inmune durante 1 semana.
Éxito El objetivo experimenta las pesadillas, pero no sufre ningún efecto adverso excepto algún recuerdo desagradable.
Fallo El objetivo experimenta las pesadillas y despierta fatigado.
Fallo crítico El objetivo experimenta las pesadillas, se despierta fatigado y queda drenado 2 hasta que deja de estar fatigado.";
SHARED NIGHTMARE;PESADILLA COMPARTIDA;two-actions;FOCO;4;POCO-COMÚN CLÉRIGO CONCENTRAR EMOCIÓN FOCO INCAPACITACIÓN;;;;;30 pies (9 m); 1 criatura;;; variable;"MANIPULAR MENTAL
Fusionando tu mente con la del objetivo, intercambiáis visiones inquietantes. Uno de los dos quedará confundido, basándose en la salvación de Voluntad del objetivo.
Éxito crítico Quedas confundido durante 1 asalto.
Éxito Al inicio de tu siguiente turno, pasas tu primera acción en el estado confundido, y después actúas normalmente.
Fallo El objetivo pasa la primera acción de cada uno de sus turnos confundido. La duración es 1 minuto.
Fallo crítico El objetivo queda confundido. La duración es 1 minuto.";
WAKING NIGHTMARE;PESADILLA DESPIERTA;two-actions;FOCO;1;POCO-COMÚN CLÉRIGO CONCENTRAR EMOCIÓN FOCO MANIPULAR MENTAL;;;;;30 pies (9 m); 1 criatura;;; variable;"MIEDO
Llenas la mente de una criatura con una visión terrorífica. El objetivo tiene que llevar a cabo una salvación de Voluntad. Una criatura asustada por este conjuro sufre 1 daño mental adicional cada vez que sufre el impacto de un Golpe.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo queda asustado 1.
Fallo El objetivo queda asustado 2. Si está dormido, se despierta y queda paralizado durante 1 asalto.
Fallo crítico Igual que fallo, pero asustado 3.";Potenciado (+1) El daño mental se incrementa en 1.
PETRIFY;PETRIFICAR;two-actions;CONJURO;6;CONCENTRAR MANIPULAR TIERRA;arcana, primigenia;;;;120 pies (36 m); 1 criatura hecha de ma-;;terial orgánico Fortaleza; variable;"El cuerpo del objetivo se convierte lentamente en una estatua de piedra. El objetivo tiene que llevar a cabo una salvación de Fortaleza.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo queda lentificado 1 durante 1 asalto mientras la piedra empieza a formarse en su cuerpo.
Fallo El objetivo queda lentificado 1 y tiene que hacer una salvación de Fortaleza al final de cada uno de sus turnos; esta salvación continuada tiene el rasgo incapacitación. Con una salvación fallida, el estado de lentificado se incrementa en 1 (o en 2 con un fallo crítico) mientras la piedra recubre su cuerpo. Una salvación con éxito reduce en 1 el estado de lentificado. Cuando una criatura queda completamente incapaz de actuar debido al estado lentificado, el conjuro acaba en un fogonazo de luz gris que revela al objetivo permanentemente petrificado al convertirse en una estatua. El conjuro también se acaba si el estado lentificado se elimina, lo que hace que la piedra se rompa de forma inofensiva.";
FEET TO FINS;PIES A ALETAS;two-actions;CONJURO;3;CONCENTRAR MANIPULAR MORFISMO;arcana, primigenia;;;;toque; 1 criatura voluntaria.;;;10 minutos;Los pies del objetivo se transforman en aletas, mejorando su movilidad en el agua pero reduciéndola en tierra firme. El objetivo obtiene una Velocidad de nado igual a su Velocidad normal en tierra, pero ésta última queda reducida a 5 pies (1,5 m).;Potenciado (6.º) El conjuro dura hasta tus siguientes preparativos diarios.
FLEET STEP;PIES ÁGILES;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;arcana, primigenia;;;;;;;;1 minuto;Obtienes un bonificador +30 pies (9 m) por estatus a tu Velocidad.;
AGILE FEET;PIES ÁGILES;one-action;FOCO;1;POCO-COMÚN CLÉRIGO FOCO MANIPULAR;;;;;;;;;hasta el final del turno actual;"Las bendiciones de tu dios hacen que tus pies sean más rápidos y, tus movimientos, más fluidos. Obtienes un bonificador +5 pies (1,5 m) por estatus a tu Velocidad e ignoras el terreno difícil. Como parte de lanzar pies ágiles, puedes Pasar haciendo acrobacias, dar un Paso o una Zancada; si dispones de la Velocidad apropiada, en su lugar puedes Excavar, Nadar, Trepar o Volar.";
SURE FOOTING;PISADA SEGURA;two-actions;CONJURO;2;CONCENTRAR CURACIÓN MANIPULAR;divina, ocultista, primigenia;;;;toque; 1 criatura voluntaria.;;;;"Liberas las extremidades del objetivo de las aflicciones que entorpecen su movilidad. Contrarrestas (pág. 431) un efecto a tu elección que impone uno de los siguientes estados al objetivo: agarrado, paralizado o torpe. Si la prueba falla, pero habría tenido éxito si su rango de contrarrestar hubiera sido 2 inferior, en su lugar suprime el efecto hasta el inicio de tu siguiente turno. La duración del efecto no se gasta mientras está suprimido.
Este conjuro no puede contrarrestar ni suprimir maldiciones, enfermedades o estados que forman parte del estado normal del objetivo.";"Potenciado (4.º) Añade inmovilizado, lentificado y neutralizado a la lista de estados.
Potenciado (6.º) Añade petrificado a la lista de estados.
Potenciado (8.º) Añade aturdido a la lista de estados."
GHOSTLY CARRIER;PORTADOR FANTASMAL;two-actions;CONJURO;2;CONCENTRAR MANIPULAR;arcana, ocultista;;;;120 pies (36 m);;;;1 minuto;Creas una figura Menuda y semicorporal con una forma elegida por ti, que flota cerca de ti mientras dura el conjuro. Cuando Lanzas un conjuro con alcance de toque, puedes hacer que el portador se mueva hasta dicho alcance, aplique el conjuro a una criatura de allí y vuelva hasta ti. Si el portador tiene que hacer una tirada de ataque de conjuro, utiliza tus bonificadores normales. El portador tiene tu CA y tus salvaciones, pero es destruido por cualquier cantidad de daño.;
GATE;PORTAL;two-actions;CONJURO;10;POCO-COMÚN CONCENTRAR MANIPULAR TELETRANSPORTE;arcana, divina, ocultista;;;;120 pies (36 m);;;;mantenido hasta 1 minuto;Abres de un tirón una grieta a otro Plano, creando un portal que las criaturas pueden atravesar en ambas direcciones. El portal es vertical y circular, con un radio de 40 pies (12 m). Aparecerá en un lugar a tu elección en el Plano del destino, suponiendo que tengas una idea clara, tanto de la ubicación del destino en el Plano, como de la apariencia de dicha ubicación. Si pretendes crear un portal de entrada o de salida al reino de un dios u otro ser similarmente poderoso, dicho ser puede evitar que se forme el portal.;
POSSESION;POSESIÓN;two-actions;CONJURO;7;POCO-COMÚN CONCENTRAR INCAPACITACIÓN MANIPULAR MENTAL POSESIÓN;ocultista;;;;30 pies (9 m); 1 criatura viva;;Voluntad; 1 minuto;"Envías tu mente y tu alma al cuerpo del objetivo, intentando tomar el control. El objetivo tiene que llevar a cabo una salvación de Voluntad. Si quieres ejercer menos control sobre el objetivo, puedes elegir los efectos de cualquier grado de éxito más favorable para el mismo.
Mientras estás poseyendo a un objetivo, tu propio cuerpo permanece inconsciente y no puede despertarse normalmente. Puedes sentir todo lo que hace el objetivo poseído. Puedes Disipar este conjuro.
Si el cuerpo poseído muere, el conjuro se acaba y has de tener éxito en una salvación de Fortaleza contra tu CD de conjuros o quedar paralizado durante 1 hora, o 24 horas con un fallo crítico. Si el conjuro acaba durante un encuentro, actúas justo antes de la iniciativa de la criatura poseída.
Éxito crítico El objetivo no resulta afectado Éxito Posees al objetivo pero no puedes controlarlo. Mientras el conjuro dura, vas ‘de pasajero’ en el cuerpo.
Fallo Posees al objetivo y tomas el control parcial del mismo. Ya no tenéis turnos separados, sino que en su lugar puedes controlarlo. Al inicio de cada uno de los turnos del objetivo, éste hace otra salvación de Voluntad. Si falla, sigue controlado por ti dicho turno; si tiene éxito, elige sus propias acciones; y si obtiene un éxito crítico, te expulsa y el conjuro se acaba.
Fallo crítico Posees por completo al objetivo, que sólo puede mirar mientras lo manipulas como una marioneta. El objetivo está controlado por ti.";Potenciado (9.º) La duración es 10 minutos y puedes entrar físicamente en el cuerpo de la criatura, protegiendo así tu cuerpo físico mientras dura el conjuro.
ENDURING MIGHT;POTENCIA DURADERA;reaction;FOCO;4;POCO-COMÚN CLÉRIGO FOCO MANIPULAR;;;;Un ataque o efecto te infligiría daño.;;;;;;Tu propia potencia se mezcla con el poder divino para protegerte del daño. Obtienes una resistencia igual a 8 más tu modificador por Fuerza contra todo daño debido al ataque o efecto desencadenante.;Potenciado (+1) La resistencia se incrementa en 2.
DREAMING POTENTIAL;POTENCIAL ONÍRICO;;CONJURO;5;CONCENTRAR MANIPULAR MENTAL;ocultista;10 minutos;;;toque; 1 criatura durmiente voluntaria.;;;8 horas;Atraes al objetivo a un sueño lúcido donde puede explorar las infinitas posibilidades de su propio potencial con el siempre cambiante telón de fondo de su paisaje onírico. Si duerme las 8 horas ininterrumpidamente, al despertar cuenta como si hubiera pasado un día entero de tiempo libre reconvirtiendo, aunque no puede utilizar potencial onírico para ninguna reconversión que requiere, o bien un instructor, o bien conocimiento especializado al que no puede acceder en el sueño.;
ACID GRIP;PRESA ÁCIDA;two-actions;CONJURO;2;ÁCIDO CONCENTRAR MANIPULAR;arcana, primigenia;;;;120 pies (36 m); 1 criatura;;Reflejos;;"Una mano efímera y provista de garras aferra al objetivo quemándolo con ácido mágico. El objetivo sufre 2d8 daño por ácido más 1d6 daño persistente por ácido dependiendo de su salvación de Reflejos.
Una criatura que sufre daño persistente debido a este conjuro sufre además un penalizador -10 pies (3 m) por estatus a sus Velocidades.
Éxito crítico La criatura no resulta afectada.
Éxito La criatura sufre mitad de daño sin daño persistente, y la garra se mueve hasta 5 pies (1,5 m) en una dirección elegida por ti.
Fallo La criatura sufre mitad de daño y daño persistente, y la garra se mueve hasta 10 pies (3 m) en una dirección elegida por ti.
Fallo crítico La criatura sufre doble daño y daño persistente completo, y la garra se mueve hasta 20 pies (6 m) en una dirección elegida por ti.";Potenciado (+2) El daño inicial se incrementa en 2d8 y el daño persistente por ácido se incrementa en 1d6.
GECKO GRIP;PRESA DEL GECO;two-actions;CONJURO;2;CONCENTRAR MANIPULAR;arcana, primigenia;;;;toque; 1 criatura;;;10 minutos;Unos pelos Menudos y pegajosos brotan en las manos y los pies de la criatura, permitiéndole agarrarse a prácticamente cualquier superficie. El objetivo obtiene una Velocidad de trepar igual a su Velocidad terrestre.;Potenciado (5.º) La duración se incrementa a 1 hora.
FORESIGHT;PRESCIENCIA;two-actions;CONJURO;9;CONCENTRAR MANIPULAR MENTAL PREDICCIÓN;arcana, divina, ocultista;;;Presciencia [reaction] El objetivo de presciencia se defiende contra una criatura hostil u otro peligro;toque; 1 criatura;;;1 hora;"Obtienes un sexto sentido que te avisa del peligro que podría correr el objetivo del conjuro. Si eliges una criatura distinta a ti como objetivo, creas un enlace psíquico a través del cual puedes informarla del peligro. Este enlace es un efecto mental. Debido a la cantidad de información que este conjuro requiere que proceses, no puedes tener más de un conjuro de presciencia activo en un momento dado.
Lanzarlo de nuevo acaba con el lanzamiento anterior. Mientras presciencia surte efecto, el objetivo obtiene un bonificador +2 por estatus a sus tiradas de iniciativa y no está desprevenido contra criaturas no detectadas o cuando está flanqueado. Además, obtiene la siguiente reacción.";
OVERWHELMING PRESENCE;PRESENCIA ABRUMADORA;two-actions;CONJURO;9;AUDITIVO CONCENTRAR INCAPACITACIÓN MANIPULAR MENTAL VISUAL;divina, ocultista;;;;; cualquier número de criaturas;explosión de 40 pies (12 m);Voluntad; hasta que se rinde el tributo por completo.;"Te rodeas a ti mismo de un esplendor sobrenatural, pareciendo un dios o un ser similarmente majestuoso, con una apariencia, unas galas y una iconografía a tu elección. Los objetivos tienen que llevar a cabo una salvación de Voluntad. Sea cual sea el resultado, el objetivo queda a continuación temporalmente inmune durante 1 minuto.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo debe rendirte tributo 2 veces. Rendir tributo requiere que el objetivo invierta una acción que tiene, o bien el rasgo movimiento (inclinarse), o bien el rasgo manipular (ofrecer un regalo simbólico que lleva en las manos). Debe rendir tributo por lo menos una vez en cada uno de sus turnos, si es posible.
Mientras se encuentra afectado, el objetivo está fascinado por ti y no puede utilizar acciones hostiles en tu contra.
Fallo Igual que éxito, pero el objetivo tiene que rendir tributo un total de 6 veces.
Fallo crítico Igual que fallo, pero el objetivo tiene que invertir todas sus acciones rindiendo tributo, y no puede llevar a cabo ninguna otra hasta que el tributo ha sido rendido por completo.";
PRESTIDIGITATION;PRESTIDIGITACIÓN;two-actions;TRUCO;1;CONCENTRAR MANIPULAR TRUCO;arcana, divina, ocultista, primigenia;;;;10 pies (3 m); 1 objeto (sólo cocinar, ele-;;;var o limpiar) mantenido;"La más sencilla de las magias obedece tus órdenes. Puede llevar a cabo efectos mágicos sencillos mientras Mantienes el conjuro. Cada vez que lo haces, puedes elegir una de cuatro opciones.
• Cocinar Enfriar, calentar o aromatizar 1 libra (450 g) de materia no viviente.
• Elevar Levantar lentamente un objeto desatendido de Impedimenta ligera o menos 1 pie (30 cm) del suelo.
• Hacer Crear un objeto temporal de Impedimenta insignificante a partir de sustancia mágica congelada. El objeto parece tosco y artificial y es extremadamente frágil; no se puede utilizar como herramienta, arma o locus, ni como coste para un conjuro.
• Limpiar Teñir, limpiar o ensuciar un objeto de Impedimenta ligera o menor. Puedes afectar a un objeto de Impedimenta 1 con 10 asaltos de concentración y a un objeto mayor a razón de 1 minuto por unidad de Impedimenta.¡ Prestidigitación no puede infligir daño ni causar estados adversos.
Todo cambio real en un objeto (más allá de lo indicado más arriba) sólo persiste mientras Mantienes el conjuro.";
PROTECTION;PROTECCIÓN;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;divina, ocultista;;;;toque; 1 criatura voluntaria.;;;1 minuto;Custodias una criatura contra el daño. El objetivo obtiene un bonificador +1 por estatus a su CA y sus tiradas de salvación.;Potenciado (3.º) Puedes hacer que los beneficios afecten también a todos sus aliados en una emanación de 10 pies (3 m) alrededor del objetivo.
PROJECT IMAGE;PROYECTAR IMAGEN;two-actions;CONJURO;7;CONCENTRAR ILUSIÓN MANIPULAR MENTAL;arcana, ocultista;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Proyectas una imagen ilusoria de ti mismo. Tienes que permanecer dentro del rango de la imagen y, si en algún momento dejas de verla, el conjuro se acaba. Siempre que Lanzas un conjuro distinto a aquel cuya área es una emanación, puedes hacer que el efecto de conjuro se origine, o bien en ti mismo, o bien en la imagen. Como quiera que la imagen es una ilusión, no se puede beneficiar de conjuros, aunque aparecen manifestaciones visuales del conjuro. La imagen tiene la misma CA y salvaciones que tú. Si la imagen sufre un impacto de un ataque o falla una salvación, el conjuro se acaba.;Potenciado (+2) La duración máxima que puedes Mantener el conjuro se incrementa a 10 minutos.
TELEKINETIC PROJECTILE;PROYECTIL TELECINÉTICO;two-actions;TRUCO;1;ATAQUE CONCENTRAR MANIPULAR TRUCO;arcana, ocultista;;;;30 pies (9 m); 1 criatura;;CA;;"Lanzas contra el objetivo un objeto suelto y desatendido que está dentro del alcance y que tiene Impedimenta 1 o menos. Haz una tirada de ataque específica contra la CA del objetivo. Si aciertas, infliges 2d6 daño contundente, perforante o cortante, según el objeto arrojado. Ningún rasgo específico o propiedad mágica del objeto arrojado afecta al ataque ni al daño.
Éxito crítico Infliges doble daño.
Éxito Infliges daño completo.";Potenciado (+1) El daño se incrementa en 1d6.
IMPALLING SPIKE;PÚA EMPALADORA;two-actions;CONJURO;5;CONCENTRAR MANIPULAR METAL;arcana, primigenia;;;;30 pies (9 m); 1 criatura;;Reflejos; 1 minuto;"Conjuras una púa que surge del suelo bajo una criatura objetivo, con el potencial de empalarla. La púa es de hierro frío e inflige 8d6 daño perforante. El objetivo tiene que hacer una salvación de Reflejos.
Éxito crítico El objetivo esquiva la púa y no resulta afectado.
Éxito El objetivo sufre el impacto de la púa para mitad de daño.
Fallo El objetivo resulta empalado a través de una pierna u otra parte no vital del cuerpo. La criatura sufre daño completo y, si está de pie en terreno sólido, queda inmovilizada. Puede tratar de Huir (la CD es tu CD de conjuro). Mientras permanezca empalada, al final de cada uno de sus turnos sufrirá daño de cualquier debilidad que tenga al hierro frío.
Fallo crítico Igual que fallo, pero la criatura resultará empalada a través de un órgano vital o de su centro de gravedad, sufriendo doble daño y quedando desprevenida mientras permanezca empalada.";Potenciado (+1) El daño se incrementa en 2d6.
PULSE OF CIVILIZATION;PULSO DE LA CIVILIZACIÓN;two-actions;FOCO;4;POCO-COMÚN CLÉRIGO CONCENTRAR ESCUDRIÑAMIENTO FOCO MANIPULAR;;;;;25 millas (40 km);;;;8 horas;Conectas con el espíritu del tiempo de cualquier asentamiento dentro del alcance. Averiguas los nombres de los asentamientos. En todas las pruebas de Saber para Recordar conocimiento acerca de dichos asentamientos o para Reunir información en dichos asentamientos o sobre ellos, obtienes un bonificador +2 por estatus y utilizas tu nivel como rango de competencia incluso si no estás entrenado. Cuando Lanzas el conjuro puedes Recordar conocimiento de inmediato acerca de uno de los asentamientos utilizando la habilidad de Saber correspondiente, como por ejemplo Saber (Absalom), beneficiándote del bonificador. Si lanzas de nuevo pulso de la civilización, todo lanzamiento anterior se acaba.;"Potenciado (5.º) El alcance son 100 millas (160 km).
Potenciado (7.º) El alcance son 500 millas (800 km) y el bonificador es +3."
SYNAPTIC PULSE;PULSO SINÁPTICO;two-actions;CONJURO;5;CONCENTRAR INCAPACITACIÓN MANIPULAR MENTAL;ocultista;;;;;;emanación de 30 pies (9 m);Voluntad; 1 asalto;"Emites una explosión mental pulsante que perfora la mente de todos los enemigos en el área. Cada enemigo en la misma tiene que hacer una salvación de Voluntad.
Éxito crítico La criatura no resulta afectada.
Éxito La criatura queda aturdida 1.
Fallo La criatura queda aturdida 2.
Fallo crítico La criatura queda aturdida durante 1 asalto.";
GUST OF WIND;RÁFAGA DE VIENTO;two-actions;CONJURO;1;AIRE CONCENTRAR MANIPULAR;arcana, primigenia;;;;;;línea de 60 pies (18 m);Fortaleza; hasta el inicio de tu siguiente turno;"Un violento viento surge de la palma de tu mano, soplando desde el punto en el que estás cuando Lanzas el conjuro hasta el extremo opuesto de la línea. El viento apaga pequeños fuegos no mágicos, dispersa la niebla y la bruma, mueve objetos de Impedimenta ligera o menor y empuja objetos mayores. Las criaturas Grandes o menores del área tienen que hacer una salvación de Fortaleza. Las criaturas Grandes o menores que se mueven más tarde al camino de la ráfaga tienen que hacer la salvación al entrar.
Éxito crítico La criatura no resulta afectada.
Éxito La criatura no se puede mover contra el viento.
Fallo La criatura queda tumbada. Si estaba volando, sufre en su lugar los efectos de un fallo crítico.
Fallo crítico La criatura es empujada 30 pies (9 m) en la dirección del viento, queda tumbada y sufre 2d6 daño contundente.";
PUSHING GUST;RÁFAGA IMPELENTE;two-actions;FOCO;1;POCO-COMÚN AIRE CLÉRIGO CONCENTRAR FOCO MANIPULAR;;;;;500 pies (150 m); 1 criatura;;Fortaleza;;"Dando un empujón al aire, golpeas al objetivo con una potente racha de viento; tiene que hacer una salvación de Fortaleza.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo es apartado de ti 5 pies (1,5 m) de un empujón.
Fallo El objetivo es apartado de ti 10 pies (3 m) de un empujón.
Fallo crítico La criatura es apartada de ti 10 pies (3 m) de un empujón y queda tumbada.";
ANIMAL FEATURE;RASGO ANIMAL;one-action;FOCO;2;POCO-COMÚN CONCENTRAR EXPLORADOR FOCO MANIPULAR MORFISMO;;;;;;;;;1 minuto;"Sin transformar por completo tu cuerpo, obtienes un rasgo animal que puedes seleccionar de la lista a continuación cada vez que Lanzas el conjuro.
• Garras Obtienes un ataque de garra que inflige 1d6 daño cortante y tiene los rasgos ágil, sutil y sin armas.
• Mandíbulas Obtienes un ataque de mandíbulas que inflige 1d8 daño perforante y tiene el rasgo sin armas.
• Ojos de gato Obtienes visión en la penumbra.
• Alas Obtienes una Velocidad de vuelo igual a tu Velocidad terrestre.
• Cola de pez Obtienes una Velocidad de nado igual a tu Velocidad terrestre.
• Ojos de lechuza Obtienes visión en la oscuridad.";Potenciado (4.º) Añade a la lista las siguientes opciones.
EPHEMERAL TRACKING;RASTREO EFÍMERO;two-actions;FOCO;3;POCO-COMÚN CONCENTRAR EXPLORADOR FOCO MANIPULAR;;;;;;;;;1 hora;Puedes contemplar las corrientes en el aire y en el agua y ver rastros que puedes seguir como harías en tierra. Puedes utilizar Supervivencia o Rastrear por el aire y por el agua, detectando «rastros» aéreos o acuáticos de todas las criaturas que han pasado cerca en la última hora. Es más difícil Rastrear de esta forma: la CD para Rastrear por el aire o por el agua siempre es por lo menos 30, o mayor después de que haya habido precipitaciones o viento (en el aire) o fuertes mareas o corrientes (en el agua). Es posible Cubrir rastros contra este conjuro, pero las criaturas podrían no darse cuenta de que necesitan hacerlo.;
THUNDERSTRIKE;RAYO;two-actions;CONJURO;1;CONCENTRAR ELECTRICIDAD MANIPULAR SÓNICO;arcana, primigenia;;;;120 pies (36 m); 1 criatura;;Reflejos básica;;Llamas a un zarcillo de relámpago que cruje con el sonido del trueno y que inflige 1d12 daño por electricidad y 1d4 daño sónico al objetivo, que tiene que hacer una salvación básica de Reflejos. Un objetivo que vista una armadura metálica o que sea de metal sufrirá un penalizador -1 por circunstancia a su salvación y, si resultara dañado por el conjuro, quedaría torpe 1 durante 1 asalto.;Potenciado (+1) El daño se incrementa a 1d12 electricidad y 1d4 sónico.
FIRE RAY;RAYO DE FUEGO;two-actions;FOCO;1;POCO-COMÚN ATAQUE CLÉRIGO CONCENTRAR FOCO FUEGO MANIPULAR;;;;;60 pies (18 m); 1 criatura;;CA;hasta el final del siguiente turno del objetivo;Una banda brillante de fuego se arquea por el aire, prendiendo fuego a tu oponente y al terreno que pisa. Haz una tirada de ataque específica contra la CA del objetivo. El rayo inflige 2d6 daño por fuego con un impacto (o doble daño con un impacto crítico). En cualquier otro resultado que no sea un fallo crítico, el terreno en el espacio del objetivo se pondrá a arder, infligiendo 1d6 daño por fuego a cada criatura que acabe su turno en una de las casillas.;Potenciado (+1) El daño inicial del rayo se incrementa en 2d6 y el daño por fuego infligido por el espacio ardiente se incrementa en 1d6.
FORCE BOLT;RAYO DE FUERZA;one-action;FOCO;1;POCO-COMÚN FOCO FUERZA MAGO MANIPULAR;;;;;30 pies (9 m); 1 criatura;;;;Disparas un rayo de fuerza en forma de flecha, una de las formas más comunes y fiables de magia de batalla. Impacta automáticamente e inflige 1d4+1 daño por fuerza al objetivo.;Potenciado (+2) El daño se incrementa en 1d4+1.
MOONBEAM;RAYO DE LUNA;two-actions;FOCO;1;POCO-COMÚN ATAQUE CLÉRIGO CONCENTRAR FOCO FUEGO LUZ MANIPULAR;;;;;120 pies (36 m); 1 criatura;;CA;;"Haces brillar un rayo de luz de luna. Haz una tirada de ataque de conjuros. El rayo de luz inflige 2d6 daño por fuego. Se trata de daño por plata a efectos de debilidades, resistencias y cosas parecidas.
Éxito crítico El rayo inflige doble daño y el objetivo queda deslumbrado durante 1 minuto.
Éxito El rayo inflige el daño completo y el objetivo queda deslumbrado durante 1 asalto.";Potenciado (+1) El daño del rayo se incrementa en 1d6.
SENDING;RECADO;three-actions;CONJURO;5;CONCENTRAR MANIPULAR MENTAL;arcana, divina, ocultista;;;;planetario; 1 criatura a la que conoces bien;;;;Envías a la criatura un mensaje mental de 25 palabras o menos, al que puede responder de inmediato con su propio mensaje de 25 palabras o menos.;
